Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
AL/SM,NA,NA,"Boston, MA","Create and describe in 75 words a unique vacation rental in Boston, MA with the title 1850s Charlestown Cottage including the short walk to the Boston Harbor","1850s Charlestown Cottage
","
Experience the charm of Bostonís history at this delightful 1850s Charlestown Cottage. Located in the heart of Charlestown, this two-bedroom retreat blends original details like exposed brick and vintage dÈcor with modern comforts. Relax on the secluded patio or take a short walk to the picturesque Boston Harbor. Perfectly situated near the Freedom Trail and local eateries, this cozy cottage offers a unique mix of historical ambiance and contemporary convenience for your stay.",AI,73,ChatGPT,Yes,"Create an image of the front view of the described vacation rental listing: [""
1850s Charlestown Cottage
Experience the charm of Bostonís history at this delightful 1850s Charlestown Cottage. Located in the heart of Charlestown, this two-bedroom retreat blends original details like exposed brick and vintage dÈcor with modern comforts. Relax on the secluded patio or take a short walk to the picturesque Boston Harbor. Perfectly situated near the Freedom Trail and local eateries, this cozy cottage offers a unique mix of historical ambiance and contemporary convenience for your stay.""].",stimuli/AI/ai_places_assessment_24/ai_boston.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_assessment_24/43.S.EA.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Washington, DC",NA,Beautiful 2br / 2ba carriage house with parking,"Welcome to our beautiful carriage house in centrally-located Mt Pleasant! The unit is fully renovated, private, and filled with sunlight & charming details. Enjoy a big living area, full kitchen, 2 bedrooms, 2 full baths, W/D & comfortable queen sofa bed. Kids will love the adorable nook bedroom! Great location: 5-10 min walk to Metro, National Zoo, restaurants & cafes, and beautiful Rock Creek Park (with endless trails). 15 min drive or bike to downtown / museums. On-site parking available.",Human,76,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_washingtondc.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/41.R.B.M.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Cleveland, OH","Create and describe in 75 words a unique vacation rental in Cleveland, OH with the title Come stay on Flamingo Ave including being close to Fairview Hospital","Come Stay on Flamingo Ave!
","Experience cozy comfort at this chic vacation rental in Cleveland, OH. Nestled on the charming Flamingo Ave, this stylish home boasts vibrant, modern decor with tropical-inspired touches. Just minutes from Fairview Hospital, itís perfect for visiting loved ones, medical professionals, or business travelers. Enjoy a spacious living area, fully equipped kitchen, private backyard oasis, and free parking. Conveniently located near local dining, shopping, and parks, itís an ideal retreat for relaxation, exploration, and memorable stays alike.",AI,72,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Come Stay on Flamingo Ave
Experience cozy comfort at this chic vacation rental in Cleveland, OH. Nestled on the charming Flamingo Ave, this stylish home boasts vibrant, modern decor with tropical-inspired touches. Just minutes from Fairview Hospital, itís perfect for visiting loved ones or medical professionals. Enjoy a spacious living area, fully equipped kitchen, private backyard oasis, and free parking. Conveniently located near local dining, shopping, and parks, itís an ideal retreat for relaxation and exploration alike.""].",stimuli/AI/ai_places_assessment_24/ai_cleveland.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_assessment_24/21.S.W.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Wichita, KS",NA,"Tiny Home Route66/Vintage, spacious bathroom","Have you ever wanted to experience the Tiny House revolution. Here is your chance to stay in a home with main floor sleeping, spacious bathroom to rival any hotel or home, all the amenities you need plus a great patio for enjoying the fresh air. This home has a Route 66 theme, from the decorations to the Red fridge past the retro toy trucks. Enjoy this small home with big character.
",Human,70,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_wichita.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/6.R.EA.M.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Aurora, CO","Create and describe in 75 words a unique vacation rental in Aurora, CO with the title La Casita Suite Close to Airport & The Southlands including its proximity to Denver.","La Casita Suite Close to Airport & The Southlands
","
Nestled in a quiet Aurora neighborhood, La Casita Suite is a cozy, modern retreat just 15 minutes from Denver International Airport and 10 minutes from The Southlands shopping district. This private suite features a plush queen bed, a stylish kitchenette, and a spa-like bathroom. Guests enjoy easy access to downtown Denver (30 minutes away), local hiking trails, and top dining spots. Perfect for travelers seeking comfort, convenience, and a touch of charm!",AI,72,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
La Casita Suite Close to Airport & The Southlands

Nestled in a quiet Aurora neighborhood, La Casita Suite is a cozy, modern retreat just 15 minutes from Denver International Airport and 10 minutes from The Southlands shopping district. This private suite features a plush queen bed, a stylish kitchenette, and a spa-like bathroom. Guests enjoy easy access to downtown Denver (30 minutes away), local hiking trails, and top dining spots. Perfect for travelers seeking comfort, convenience, and a touch of charm!""].",stimuli/AI/ai_places_assessment_24/ai_aurora.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_assessment_24/23.S.B.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Bakersfield, CA",NA,Cozy Camino Retreat,"Visiting family, temporary work, or just want a place to stay in relax in the city? Camino Primavera Retreat is the perfect place for you and your family. Kick back and relax in this calm, stylish mid-century style home with large beautiful windows and peaceful vibes. The large living room windows invite you into a peaceful backyard surrounded by trees and landscaping. You're just a few minutes drive away from Chipotle, Starbucks, Target, Smart & Final and so much more!",Human,79,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_bakersfield.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/44.R.B.F.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Honolulu, HI","Create and describe in 75 words a unique vacation rental in Honolulu, HI with the title Waikiki Ocean & Sunset Views w/ Free Parking including being near the Waikiki beach","Waikiki Ocean & Sunset Views w/ Free Parking
","Discover the perfect getaway at this stunning Honolulu vacation rental. Located steps from iconic Waikiki Beach, this modern oasis features panoramic ocean and sunset views from a private lanai. The thoughtfully designed interior includes a sleek kitchen, comfortable living area, and serene bedroom. Enjoy resort-style amenities, including a pool, fitness center, and a relaxing hot tub. With free parking and proximity to vibrant dining, shopping, and nightlife, itís the ideal spot for a tropical escape, adventure, and unforgettable relaxation experience!",AI,80,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: Discover the perfect getaway at this stunning Honolulu vacation rental. Located steps from iconic Waikiki Beach, this modern oasis features panoramic ocean and sunset views from a private lanai. The thoughtfully designed interior includes a sleek kitchen, comfortable living area, and serene bedroom. Enjoy resort-style amenities, including a pool, fitness center, and a relaxing hot tub. With free parking and proximity to vibrant dining, shopping, and nightlife, itís the ideal spot for a tropical escape, adventure, and unforgettable relaxation experience!",stimuli/AI/ai_places_assessment_24/ai_honolulu.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_assessment_24/1.S.B.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Stanton, CA",NA,Comfort Private House Close to Many Attractions,"Only 0.9 miles from Disneyland , 2-5 mints by car, 10-15 mints walk, this Cul De Sac home is on a tree-lined, quiet and safe street. After a long day of walking in Disneyland, you will really enjoy the sparkling hot spa and comfy beds of this clean, cozy house. It is walking distance to Disneyland. Equipped with big TVs, 2 sets of dining areas to host guests, and a cute backyard with a deck and chairs to relax. High quality white linens, double layers of curtains give you a good sleep.",Human,75,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_stanton.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/5.R.W.F.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Chandler, AZ","Create and describe in 75 words a unique vacation rental in Chandler, Arizona with the title Sparkling Clean, Downtown Chandler Oasis including a private pool","Sparkling Clean, Downtown Chandler Oasis

","

Escape to this modern vacation rental in the heart of Downtown Chandler! This pristine, stylish retreat features a private sparkling pool surrounded by lush landscaping, a fire pit, and a cozy outdoor lounge. Inside, enjoy sleek furnishings, a gourmet kitchen, and three spacious bedrooms with luxury linens. Walk to local eateries, breweries, and shops just minutes away. Perfect for families or small groups seeking relaxation and urban charm, this oasis guarantees an unforgettable getaway.",AI,74,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Sparkling Clean, Downtown Chandler Oasis

Escape to this modern vacation rental in the heart of Downtown Chandler! This pristine, stylish retreat features a private sparkling pool surrounded by lush landscaping, a fire pit, and a cozy outdoor lounge. Inside, enjoy sleek furnishings, a gourmet kitchen, and three spacious bedrooms with luxury linens. Walk to local eateries, breweries, and shops just minutes away. Perfect for families or small groups seeking relaxation and urban charm, this oasis guarantees an unforgettable getaway.""].",stimuli/AI/ai_places_assessment_24/ai_chandler.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_assessment_24/48.S.W.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Union, NJ",NA,"Modern 3BR/2BA - 10min to EWR, 30min to NYC","Feel right at home in this freshly renovated 3 bedroom, 2 bathroom unit (second floor) conveniently located near major roads, Newark Airport, and Jersey Garden Mall. This beautifully styled home provides easy access to NYC via bus, train or car. Better than a hotel and a terrific value you won't find anywhere else in this area. The neighborhood has a wide variety of bars & restaurants a within 2 blocks. Convenient, centrally located in the neighborhood!",Human,75,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_union.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/48.R.W.F.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Lubbock, TX","Create and describe in 75 words a unique vacation rental in Lubbock, TX with the title Big Basement Gameroom: The Kiyo by Spark Getaways including a two car garage","Big Basement Gameroom: The Kiyo by Spark Getaways

","
This one-of-a-kind vacation rental in Lubbock, TX features a spacious basement gameroom complete with a pool table, arcade games, and a cozy movie lounge. The modern three-bedroom home offers comfort with premium bedding, a fully stocked kitchen, and vibrant decor inspired by Texas charm. Guests enjoy the convenience of a two-car garage and a private backyard perfect for relaxing or grilling. Located minutes from Texas Tech and local hotspots, itís ideal for families and groups.",AI,75,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Big Basement Gameroom: The Kiyo by Spark Getaways

This one-of-a-kind vacation rental in Lubbock, TX features a spacious basement gameroom complete with a pool table, arcade games, and a cozy movie lounge. The modern three-bedroom home offers comfort with premium bedding, a fully stocked kitchen, and vibrant decor inspired by Texas charm. Guests enjoy the convenience of a two-car garage and a private backyard perfect for relaxing or grilling. Located minutes from Texas Tech and local hotspots, itís ideal for families and groups.""].",stimuli/AI/ai_places_assessment_24/ai_lubbock.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_assessment_24/1.S.EA.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Madison, WI",NA,"
Historic guesthouse near downtown, hospital and UW","Featured on the National Register of Historic Places, this unique 1916 ìgranny cottage"" stands behind our home in the gorgeous Village of Shorewood Hills. Centrally located, we are just a few walkable blocks from UW Hospital and Picnic Point, and walking/biking distance from UW, the Capitol, Hilldale Shopping Mall, Whole Foods and plenty of restaurants. Because we are in a quiet neighborhood, we have a 3 guest maximum. This is a place to retreat and relax and enjoy the best of Madison.",Human,82,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_madison.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/7.R.W.M.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Nevada City, CA","Create and describe in 75 words a unique vacation rental in Nevada City, CA with the title Harmony Mountain Retreat including its proximity to ski slopes",Harmony Mountain Retreat ,"Harmony Mountain Retreat is a serene vacation rental nestled in the Sierra Nevada foothills, just 30 minutes from Tahoe National Forest's renowned ski slopes. This modern yet rustic cabin features panoramic mountain views, a private hot tub, and a cozy fireplace. The three-bedroom retreat includes a fully equipped kitchen, outdoor dining area, and walking trails through nearby pine forests. Ideal for skiers, nature enthusiasts, and relaxation seekers, it's the perfect blend of adventure and tranquility.",AI,75,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Harmony Mountain Retreat is a serene vacation rental nestled in the Sierra Nevada foothills, just 30 minutes from Tahoe National Forest's renowned ski slopes. This modern yet rustic cabin features panoramic mountain views, a private hot tub, and a cozy fireplace. The three-bedroom retreat includes a fully equipped kitchen, outdoor dining area, and walking trails through nearby pine forests. Ideal for skiers, nature enthusiasts, and relaxation seekers, it's the perfect blend of adventure and tranquility.""].",stimuli/AI/ai_places_assessment_24/ai_nevadacity.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_assessment_24/17.S.W.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Scottsdale, AZ",NA,Backyard Oasis w/ Heated Pool | Bike 2 Old Town,"Experience luxury and relaxation at 87th Place by Great AZ Stays, a modern vacation home located just minutes from Old Town Scottsdale. The private resort-style backyard offers a lovely heated pool, loungers, a fire pit and plenty of backyard games. This 3 bedroom desert oasis includes a fully-stocked and updated kitchen, comfortable furnishings and a convenient location making it perfect for families, friends, and couples to have a memorable stay in Arizona.",Human,72,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_scottsdale.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/20.R.SA.F.png,Human,NA,,Human,multifeatured
TM,NA,NA,"Nampa, ID","Create and describe in 75 words a unique vacation rental in Nampa, ID with the title "" Cottage In Nampa "" including a detail about the location.",Cottage In Nampa,"This charming 1940s brick cottage sits in Nampa's historic North District, just two blocks from the antique shops of downtown. The fully renovated 2-bedroom home features original hardwood floors, a gourmet kitchen with farmhouse sink, and a private backyard garden with lavender beds. The cottage's wraparound porch offers views of the Nampa Train Depot's iconic clock tower. The home's location provides easy access to the Nampa Farmers Market and the Ford Idaho Center's year-round events.",AI,75,Claude,Yes,"Create an image of the front view of the described vacation rental listing: This charming 1940s brick cottage sits in Nampa's historic North District, just two blocks from the antique shops of downtown. The fully renovated 2-bedroom home features original hardwood floors, a gourmet kitchen with farmhouse sink, and a private backyard garden with lavender beds. The cottage's wraparound porch offers views of the Nampa Train Depot's iconic clock tower. The home's location provides easy access to the Nampa Farmers Market and the Ford Idaho Center's year-round events.",stimuli/AI/ai_places_assessment_24/ai_nampa.jpg,AI,Gemini,stimuli/AI/ai_faces_assessment_24/16.S.EA.F.png,AI,StyleGAN2,0,AI,multifeatured
,link ,AirBnb,"Kalamazoo, MI",NA,"Tiny house, a cozy winter getaway by I-94",Enjoy a cozy stay that is close to Kalamazoo's restaurants and attractions. On 22 acres with trails near Al Sabo Land Preserve. Beautiful and picturesque view of property from the living room space. The apartment is fully furnished with linens and dishes. Just bring yourself and your suitcase. There is a queen mattress ready for your peaceful slumber on the loft and also a sleeper sofa on the main floor.,Human,70,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_kalamazoo.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/23.R.B.M.png,Human,NA,0,Human,multifeatured
TM,NA,NA,"Charleston, SC","Create and describe in 75 words a unique vacation rental in Charleston, SC with the title "" Bright, Airy Charleston Home w/ Big Backyard"" including a detail about the amenities.","Bright, Airy Charleston Home w/ Big Backyard","
This updated 1,200-square-foot lowcountry retreat boasts elegant 12-foot ceilings, preserved heart pine flooring, and towering windows bathing the interior in sunlight. The chef's kitchen features bespoke cabinetry, marble surfaces, and premium appliances. A secluded outdoor sanctuary offers a breezy screened veranda with overhead fans, alfresco cooking space, and a peaceful water feature encompassed by flowering camellias and vibrant azalea gardens.",AI,70,Claude,Yes,"Create an image of the exterior view of the described vacation rental listing: ""Stunning Couples Cottage with Creek Dock!""

Positioned on tranquil Shem Creek in Mount Pleasant's coveted Old Village district, this enchanting 600-square-foot hideaway delivers waterfront peace just minutes from Charleston's historic center. The expertly updated cottage includes a personal dock ideal for paddling adventures and wildlife viewing, plus a breezy screened veranda overlooking the water. Situated moments from fresh seafood dining and the historic Pitt Street Bridge, this intimate escape merges coastal allure with contemporary comfort.",stimuli/AI/ai_places_assessment_24/ai_charleston2.jpg,AI,Gemini,stimuli/AI/ai_faces_assessment_24/49.S.EA.F.png,AI,StyleGAN2,0,AI,multifeatured
,link ,AirBnb,"Murfreesboro, TN",NA,Charming Home Close to Downtown,"Welcome to our beautiful home in the heart of Murfreesboro. This charming remodel of the original SH Stacey store offers a comfortable and memorable stay, combining modern amenities with the character and history of the area. With its convenient location and thoughtful touches, it's the perfect home base for your visit. Walk to MTSU to tour the campus, downtown for dinner, or the Farmers Market on Saturday morning. There is always something fun going on in town!",Human,77,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_murfreesboro.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/8.R.EA.M.png,Human,NA,0.2,Human,multifeatured
TM,NA,NA,"Temecula, CA","Create and describe in 75 words a unique vacation rental in Temecula, CA with the title "" Cottage Overlooking Wineries-Panoramic Views"" including a detail about the location.",Cottage Overlooking Wineries-Panoramic Views,"Perched on a hilltop in Temecula's De Portola Wine Trail, this Mediterranean-style cottage offers sweeping views of rolling vineyards and hot air balloons at sunrise. The one-bedroom retreat features a private infinity pool, outdoor kitchen, and floor-to-ceiling windows throughout. Located just minutes from award-winning Wilson Creek Winery, guests can enjoy wine tasting and fine dining within walking distance. A custom stone firepit on the wraparound deck provides the perfect spot for stargazing while enjoying local wines.",AI,76,Claude,Yes,"Create an image of the front view of the described vacation rental listing: Perched on a hilltop in Temecula's De Portola Wine Trail, this Mediterranean-style cottage offers sweeping views of rolling vineyards and hot air balloons at sunrise. The one-bedroom retreat features a private infinity pool, outdoor kitchen, and floor-to-ceiling windows throughout. Located just minutes from award-winning Wilson Creek Winery, guests can enjoy wine tasting and fine dining within walking distance. A custom stone firepit on the wraparound deck provides the perfect spot for stargazing while enjoying local wines.",stimuli/AI/ai_places_assessment_24/ai_temecula.jpg,AI,Gemini,stimuli/AI/ai_faces_assessment_24/16.S.SA.F.png,AI,StyleGAN2,0.8,AI,multifeatured
,link ,AirBnb,"Chatham, NJ",NA,Open Concept APT w/ Gym,"Enjoy a stylish experience at this centrally-located apt in affluent Summit NJ. Only 0.1 miles from a morning walk in Briant Park, 0.9 miles from the famous Baltusrol Golf Course and 0.9 miles from the restaurant/bar life, you'll be able to safely fine dine with friends/loved ones. If you want to branch out, you are only 0.9 miles from the Summit Train station and less than a mile away from route 78 and route 24 allowing easy access to nearby towns/cities to further enhance your experience.",Human,86,NA,NA,NA,stimuli/Human/human_places_assessment_24/human_chatham.jpg,Human,NA,stimuli/Human/human_faces_assessment_24/3.R.W.M.png,Human,NA,0,Human,multifeatured
TM,NA,NA,"Montgomery, AL","Create and describe in 75 words a unique vacation rental in Montgomery, AL with the title ""Sweet Like Tandy"" including a detail about the landscape.",Sweet like Tandy,"This restored 1920s craftsman bungalow sits in Montgomery's historic Garden District, surrounded by centuries-old magnolia trees and manicured azalea gardens. The three-bedroom home features a classic Southern wraparound porch, period antiques, and a gourmet kitchen with original beadboard ceiling. Just steps from the Alabama State Capitol, guests can enjoy rocking chairs overlooking the property's heirloom rose garden. A private courtyard with a bubbling fountain and brick pathways provides a serene space for morning coffee or evening cocktails.",AI,77,Claude,Yes,"Create an image of the front view of the described vacation rental listing: This restored 1920s craftsman bungalow sits in Montgomery's historic Garden District, surrounded by centuries-old magnolia trees and manicured azalea gardens. The three-bedroom home features a classic Southern wraparound porch, period antiques, and a gourmet kitchen with original beadboard ceiling. Just steps from the Alabama State Capitol, guests can enjoy rocking chairs overlooking the property's heirloom rose garden. A private courtyard with a bubbling fountain and brick pathways provides a serene space for morning coffee or evening cocktails.",stimuli/AI/ai_places_assessment_24/ai_montgomery.jpg,AI,Mage,stimuli/AI/ai_faces_assessment_24/30.S.EA.F.png,AI,StyleGAN2,0,AI,multifeatured
