Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
AL/SM,NA,NA,"Memphis, TN","Create and describe in 75 words a unique vacation rental in Memphis, TN with the title Whispering Oak Secret Hideaway including being built in 1908",Whispering Oak Secret Hideaway,"
Discover timeless charm at this beautifully preserved 1908 craftsman in the heart of Memphis, TN. Whispering Oak Secret Hideaway is a peaceful retreat surrounded by majestic oak trees and vibrant gardens. Inside, original hardwood floors and stained glass windows evoke a bygone era, while modern comforts ensure a cozy stay. Relax in the private courtyard with a fire pit and twinkling lights. Just minutes from downtown, this hidden gem offers a perfect mix of history and Southern hospitality.",AI,78,ChatGPT,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Laguna Beach, CA",NA,Inn Through the Orange Door-Laguna Village cottage,"Charming beach cottage ideally situated near Main Beach and downtown village. Master bedroom with ensuite bath and two guest bedrooms with Jack and Jill bath. Lovely front and side yards with BBQ and outside chaise area complemented by an outdoor shower room with Japanese soaking tub. Modern kitchen with all new appliances, garage has new washer / dryer, storage and bikes for exploring north and south Laguna. Fabulous location and a true walker's paradise!",Human,73,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
SM,NA,NA,"Riverside, CA","Create and describe in 75 words a unique vacation rental in Riverside, CA with the title eclectic studio | private courtyard including its private lit courtyard","
Eclectic Studio | Private Courtyard
","Nestled in the heart of Riverside, this vibrant studio offers a fusion of vintage charm and modern comforts. Inside, enjoy bold dÈcor, artistic accents, and a cozy kitchenette. Step outside to your private, illuminated courtyard, adorned with string lights, lush greenery, and a bistro table ñ perfect for evening relaxation or intimate dining. Conveniently located near downtown attractions, trendy cafes, art galleries, local markets, and historic landmarks, this retreat combines serenity with access to Riversideís lively culture.",AI,70,ChatGPT,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Corpus Christi, TX",NA,Newly Renovated Bay Area Home,Relax with the whole family at our newly renovated home. We are just a few blocks from the downtown life and many attractions that Corpus Christi has to offer. Cole park and the American Bank Center are minutes away as well as the downtown sea wall and area beach. If you are looking for beach access you are about 5 min away from McGee beach and 20 min to North Padre Island.,Human,72,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
SM,NA,NA,"Lexington, KY","Create and describe in 75 words a unique vacation rental in Lexington, KY with the title The Rosewood Cottage of Lexington I Elegant & Cozy including its backyard fire pit","The Rosewood Cottage of Lexington | Elegant & Cozy
","Nestled in a quiet Lexington neighborhood, The Rosewood Cottage blends Southern charm with modern elegance. This boutique rental boasts a chic interior with a fully equipped kitchen, plush bedding, and vintage-inspired decor. The lush backyard features a cozy fire pit, perfect for roasting marshmallows under string lights and the stars. Just minutes from horse farms and downtown Lexingtonís vibrant attractions, this peaceful retreat invites guests to relax in style and explore Kentuckyís beautiful Bluegrass region.",AI,72,ChatGPT,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Henderson, NV",NA,"Cozy Getaway w/ King Bed, BBQ & Spacious Backyard","Welcome to your stylish home away from home! This beautifully remodeled 3-bedroom, 2-bathroom gem perfectly blends industrial edge with bohemian charm, offering a unique and comfortable stay just minutes from Henderson's top attractions like Lake Mead National Recreation Area, Water Street Entertainment District, Hoover Dam and Boulder City. Minutes from the freeway to take you anywhere Las Vegas has to offer.",Human,61,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
SM,NA,NA,"Stockton, CA","Create and describe in 75 words a unique vacation rental in Stockton, CA with the title Cozy Brick-house With Spacious Backyard including its lot size of 13,000 square feet.","Cozy Brick-house With Spacious Backyard

","

Nestled in a serene Stockton neighborhood, this charming brick house offers the perfect retreat. Set on a sprawling 13,000-square-foot lot, it boasts a lush, spacious backyard ideal for outdoor activities, barbecues, or peaceful relaxation. Inside, enjoy modern amenities, cozy furnishings, and a warm, inviting ambiance. The home features three bedrooms, a well-equipped kitchen, and a cozy living area with a fireplace. Conveniently located near local attractions, itís perfect for families or couples seeking tranquility.",AI,74,ChatGPT,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Gilbert, AZ",NA,"Val vista Gilbert, beautiful modern home","Unwind at our Modern Boho Gilbert Oasis in the beautiful Val Vista neighborhood. Enjoy the peaceful neighborhood with a relaxing backyard; including a sparkling pool, outdoor patio and pool lounge area. Enjoy some fresh oranges or grapefruits and play some outdoor games with the family. Minutes from downtown Gilbert where you're surrounded by fun shopping, great restaurants, much more! Golfing and Hiking in the near vicinity as well! Sought after location - central to most everything.",Human,75,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
SM,NA,NA,"Glendale, AZ","Create and describe in 75 words a unique vacation rental in Glendale, AZ with the title Hot Tub | Heated Pool | Wood Sauna | Pizza oven including its pizza oven",Hot Tub | Heated Pool | Wood Sauna | Pizza Oven,"Escape to this luxurious vacation rental in Glendale, AZ, where relaxation and fun meet. Unwind in the heated pool, indulge in a soothing wood sauna, or melt away stress in the hot tub. For pizza lovers, a fully functional wood-fired pizza oven awaits, perfect for crafting delicious pies under the Arizona stars. With modern amenities, an outdoor grill, and a cozy, inviting atmosphere, this retreat is the ultimate getaway for relaxation, culinary delight, and unforgettable memories.",AI,71,ChatGPT,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Reno, NV",NA,The Guesthouse ,"The Guesthouse is unique in design and architecture. Similar vibe to a tiny home, it is packed with comfort and a little touch of 1930ís elegance. From the bedroom there is a small balcony where you can sit in a rocking chair and enjoy the morning with a cup of coffee. Tucked below, there are two hammock chairs where you can listen to the soothing melody of a seasonal creek that gently flows nearby. In the evening, head to the front deck to catch the sun setting behind the mountains.",Human,90,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
SM,NA,NA,"Winston-Salem, NC","Create and describe in 75 words a unique vacation rental in Winston-Salem, NC with the title Brand New Ardmore Townhome including it is a newly built summer home","Brand New Ardmore Townhome
","
Nestled in the charming Ardmore neighborhood, this newly built summer home offers modern comfort with a touch of Southern hospitality. The spacious, light-filled townhome features three cozy bedrooms, a fully equipped kitchen, and an open-concept living area perfect for relaxing or entertaining. Enjoy the private backyard, perfect for al fresco dining. Located just minutes from downtown Winston-Salem, guests can easily explore local attractions, restaurants, and outdoor parks for a truly memorable stay.",AI,72,ChatGPT,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Chesapeake, VA",NA,King Guest Suite - A Family Vacation Rental,"Come enjoy a great stay in this beautiful private In-law suite, located in the heart of Chesapeake where you can get lost in nature, peruse the fare at a farmer's market, or picnic on the water's edge with your family. Just within 15 to 30 minutes from surrounding Naval bases, Virginia Beach Oceanfront and Downtown Norfolk. All you have to do us gas-up and unplug. We'll take it from there. Reserve your stay today and let your moments begin!",Human,79,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
SM,NA,NA,"Norfolk, VA","Create and describe in 75 words a unique vacation rental in Norfolk, VA with the title Positano Villa including its private beach","
Positano Villa ","Positano Villa in Norfolk, VA, offers a luxurious escape with breathtaking views of the Chesapeake Bay. This Mediterranean-inspired villa features a spacious open-plan living area, four elegantly appointed bedrooms, and expansive terraces. Guests enjoy exclusive access to a pristine private beach, perfect for sunbathing, water activities, or relaxing walks. Surrounded by lush gardens and vibrant colors, Positano Villa blends relaxation and adventure, providing an unforgettable retreat with modern amenities, coastal charm, and incredible sunset views each evening.",AI,77,ChatGPT,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link ,AirBnb,"Lansing, MI",NA,Sunsets on the Grand,"Mid-Modern stylish condo with views of Grand River! Minutes from shopping, restaurants, and downtown Lansing. Take a walk or bike along the River trail, or head to beautiful Frances Park and enjoy the peaceful views of the rose garden. Just a stones throw away from MSU & Lansing Row Clubs and the public boat launch. Only a 10-minute drive to Michigan State University! Extra amenities provided so you have everything you need for a comfy stay while visiting us here in the capital city of Michigan.",Human,85,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
TM,NA,NA,"Huntsville, AL","Create and describe in 75 words a unique vacation rental in Huntsville, AL with the title "" Magical Mountain Retreat with Vintage Charm"" including a detail about the location.",Magical Mountain Retreat with Vintage Charm,"Nestled in Monte Sano Mountain's heritage district, this captivating 1940s cottage commands breathtaking valley vistas mere minutes from Huntsville's center. The 750-square-foot sanctuary rests adjacent to Monte Sano State Park's trail network, showcasing authentic stone masonry, expansive windows, and an intimate viewing deck ideal for celestial observation. Situated within the historic resort neighborhood, this thoughtfully preserved haven blends mountain tranquility with urban accessibility, featuring original hardwood floors and hand-forged ironwork that echoes its timeless mountain charm.",AI,76,Claude,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,2.3,AI,text
,link ,AirBnb,"Salt Lake City, UT",NA,"Adorable Pink Cottage, Private Hot Tub, Downtown!","Our hot tubs are serviced daily making sure the chlorine levels are clean, healthy, and safe per CDC guidelines. You'll have exclusive access to the hot tub for your use only. Conveniently located a block from Trax taking you directly to the Salt Palace Convention Center, Vivint, City Creek with connections to the Airport. This quaint Victorian-style duplex is located on a quiet dead-end street. No one is above or below you allowing for a quieter stay without hearing footsteps above you.",Human,82,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
TM,NA,NA,"Peoria, IL","Create and describe in 75 words a unique vacation rental in Peoria, IL with the title "" BlackbirdÖOn the Drive "" including a detail about the amenities.",Blackbird...On the Drive,"Positioned along prestigious Grand View Drive in Peoria Heights, this elegant 1,200-square-foot guest retreat commands stunning Illinois River Valley vistas. The meticulously updated interior showcases a chef's kitchen with premium Viking appliances, luxurious heated marble bathroom flooring, and a secluded deck for evening sunsets. Modern home automation manages ambiance and comfort, complemented by a bespoke wine bar and cozy hearth, while custom-built walnut shelving and handcrafted light fixtures enhance its refined character and timeless design.",AI,75,Claude,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0.1,AI,text
,link ,AirBnb,"Knoxville, TN",NA,Mims Cottage,"This cottage is located in the renovated basement of an owner-occupied home, and has a private entrance. Nestled in a small neighborhood near Holston Hills, this cottage is a dream! Enjoy a pour over on the patio before heading downtown to experience the award winning farmerís market, just a 15 minute drive. Most of the furnishings and decor are proudly from small businesses in Knoxville. Our favorite is the bathroom door from a local antiquities shop!",Human,76,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
TM,NA,NA,"New Haven, CT","Create and describe in 75 words a unique vacation rental in New Haven, CT with the title "" Cozy cottage in historic neighborhood "" including a detail about the location.",Cozy cottage in historic neighborhood,"Charming 1940s cottage nestled in New Haven's coveted East Rock neighborhood, just steps from East Rock Park's hiking trails. This 2-bedroom home features a wood-burning fireplace, updated kitchen with farmhouse sink, and a peaceful screened-in porch perfect for morning coffee. Original built-ins and exposed beams maintain historic character. Located 1.5 miles from Yale University campus. Perfect for 4 guests. The private backyard garden offers a tranquil retreat with native plants and a stone patio.",AI,74,Claude,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,AI,text
,link ,AirBnb,"Fargo, ND",NA,Heated Garage | Prime Location | Easy Access,"Relax in our newly renovated 3 bedroom 2 bath home. We have created a modern and inviting atmosphere that will make you feel right at home.
We are located in a quite and established neighborhood, close to parks and bike trails, in an up-and-coming part of town. Our home offers the perfect balance between serenity and convenience.
As a local host I would love to share my favorite eats and attractions, so shoot me a message!",Human,76,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
TM,NA,NA,"Lynn, MA","Create and describe in 75 words a unique vacation rental in Lynn, MA with the title "" Condo at the Beach : Queen Bed"" including a detail about the location.",Condo at the Beach: Queen Bed,"
Positioned directly on Lynn Shore Drive, this contemporary second-story condo delivers pristine Atlantic Ocean and Boston skyline vistas. Situated mere steps from Lynn Beach's historic seawall, this 600-square-foot haven combines beachy modern design with a private viewing balcony ideal for morning sunrises over Nahant Bay. Located only 20 minutes from Boston's center, the property offers convenient access to local dining, green spaces, and public transportation.",AI,71,Claude,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,AI,text
,link ,AirBnb,"Billings, MT",NA,Farmhouse Cottage @ Old Pine Retreats,"This is your house if you are looking to experience the beauty of rugid Montana landscape just minutes outside of Billings, while in a uniquely designed tiny home. The Farmhouse Cottage @ Old Pine Retreats is a rustic, farmhouse themed home that is loaded with breathtaking views. Guests can take in the landscape next to the wall of windows and fireplace in the living room or enjoy a meal with friends on the main level deck. If this isn't enough, there is a roof-top deck that is sure to please!",Human,89,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
TM,NA,NA,"Las Cruces, NM","Create and describe in 75 words a unique vacation rental in Las Cruces, NM with the title "" Desert Peaks Casita "" including a detail about the location.","
Desert Peaks Casita","Tucked into the Organ Mountains' gentle slopes, this traditional adobe casita presents 700 square feet of genuine New Mexican character. Situated a quick 15-minute drive from historic Mesilla Plaza, this retreat boasts sweeping desert panoramas and immediate trail access. A secluded courtyard featuring a traditional kiva fireplace offers pristine night-sky viewing, while the comfortable interior highlights authentic vigas, hand-laid Saltillo tiles, and regional art pieces, complemented by newly installed solar panels and desert-wise perennial landscaping.",AI,75,Claude,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,AI,text
,link ,AirBnb,"Evansville, IN",NA,Hobbit House 2 bedroom.,"Welcome to the Hobbit House! Relax or work from home in this cozy house located in a charming, quiet neighborhood in central Evansville. Each room is curated to set a different vibe from relaxation, sophistication, and fun. This house also has an old speakeasy downstairs filled with arcade games and a movie projector and screen. At night relax in the backyard under a beautifully lit gazebo. This house is also equipped with an office set up to make it easy to work from your home away from home.
",Human,88,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,Human,text
TM,NA,NA,"South Bend, IN","Create and describe in 75 words a unique vacation rental in South Bend, IN with the title "" Charming Farm Retreat Awaits! "" including a detail about the design.",Charming Farm Retreat Awaits!,"This beautifully transformed 1920s barn showcases dramatic 20-foot vaulted ceilings with preserved timber beams and authentic barnwood accents throughout its 900-square-foot layout. The carefully curated interior blends country charm with contemporary farmhouse elegance, featuring classic barn door hardware, artfully displayed agricultural antiques, and handcrafted metalwork. An intimate loft sleeping space peers over the living area, while expansive windows capture serene rural vistas and create a light-filled space perfect for modern country living and pastoral enjoyment.",AI,75,Claude,Yes,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,0,AI,text
,link ,AirBnb,"Longview, TX",NA,Piney Point A-Frame Retreat Tyler,"Created to share the uniqueness of East Texas with others, Piney Point is a perfect couple or friend's retreat. Tucked in the corner of a six-acre homestead, this restored A-frame offers a modern cozy stay with an expansive deck that overlooks the spring-fed pond. Nearby are some of the best adventures East Texas has to offer, from hiking trails and fishing at Tyler State park, live music, downtown breweries, to market shopping and great food. Escape to the quiet to rest and recharge.",Human,83,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
YF,NA,NA,"Greeley, CO","Create and describe in 75 words a unique vacation rental in Greeley, CO with the title "" Glenmere Park Bungalow "" including a detail about the design.",Glenmere Park Bungalow,"This artfully designed 1940s bungalow showcases original craftsman details with a modern twist. Featuring exposed wooden beams, custom built-ins, and restored hardwood floors throughout. The two-bedroom home boasts mid-century modern furnishings, local artwork, and large windows flooding the space with natural light. A cozy reading nook with window seat offers views of the historic neighborhood's mature trees. The updated kitchen maintains vintage charm with subway tile backsplash and original glass-front cabinets. The spacious front porch features handcrafted Adirondack chairs perfect for enjoying morning coffee or evening relaxation.",AI,87,Claude,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link ,AirBnb,"Killeen, TX",NA,Cozy Townhome Retreat,"Welcome to our exceptional living space in Killeen, Texas. Our accommodations provide a modern, hotel-style experience coupled with the warmth and coziness of a true home away from home. Conveniently located mere minutes from Killeen-Fort Hood Regional Airport, Central Texas College, Texas A&M University Central Texas, AdventHealth Central Texas, Fort Cavazos, HEB, Walmart, and more, our prime location ensures ease of access to all your needs.",Human,66,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
YF,NA,NA,"Wylie, TX","Create and describe in 75 words a unique vacation rental in Wylie, TX with the title ""Ballard Bungalow in Downtown Wylie"" including a detail about amenities.","Ballard Bungalow in Downtown Wylie is a charming 1940s home thoughtfully updated for modern comfort. This cozy retreat features premium amenities including a fully-equipped smart kitchen with Nespresso machine, high-speed fiber internet, and a dedicated workspace. The living room offers a 55"" smart TV with streaming services, while the private backyard features a covered patio with string lights, gas grill, and comfortable lounge seating.","This beautifully restored 1920s bungalow combines historic charm with modern luxury in the heart of Wylie. The two-bedroom home features a gourmet kitchen with quartz countertops, stainless appliances, and a fully stocked Keurig coffee station. Enjoy the smart home features, including Nest thermostat, Ring security, and high-speed WiFi throughout. The private backyard offers a covered patio, fire pit, and comfortable outdoor seating for evening relaxation and outdoor dining. Perfect for families or business travelers seeking a comfortable home away from home.",AI,81,Claude,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link ,AirBnb,"Palm Bay, FL",NA,The Sandhill Blue House,"Welcome to our newly remodeled South West Palm Bay retreat! Fresh updates, new beds, eco-friendly appliances, well-equipped kitchen, Wi-Fi, Netflix, and a central location near attractions. Book now for a memorable Florida stay! If you are an outdoor loving person there is so much to do from camping, to fishing, airboat rides, and trail/nature walks. The beach is just 35 minutes away, and close to other award wining beaches such as Cocoa Beach. We have one of the best Zoo's in the nation.",Human,83,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
YF,NA,NA,"Montpelier, VT","Create and describe in 75 words a unique vacation rental in Montpelier, VT with the title "" Cozy Cabin -Top of Hill with Views"" including a detail about the location.",Cozy Cabin -Top of Hill with Views ,"Top of Hill with Views sits perched on a scenic hilltop just 10 minutes from downtown Montpelier's charming State Street. This secluded retreat offers panoramic views of the Worcester Mountain Range and Camel's Hump. The cabin's elevated position provides stunning sunrise vistas across the rolling Vermont countryside, while maintaining easy access to the capital city's restaurants and shops. A private wooded trail connects to the property, featuring thoughtfully placed benches and native wildflower gardens along its winding path.",AI,78,Claude,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
,link,AirBnb,"Saginaw, MI",NA,Cozy A-Frame with Hot Tub,"Cozy, moody A-Frame cabin in the Great Lakes Bay area. Perfect for a couple or small group getaway. This unique space makes you want to relax all day in your pjs and a cup of coffee. It's also close to everything, making it easy to plan your visit - only 5 minutes to downtown bay city shopping, restaurants, and coffee shops. Only 25 minutes to Frankenmuth and 10 minutes to beach - Lake Huron.",Human,72,NA,NA,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,Human,text
YF,NA,NA,"Jackson, MS","Create and describe in 75 words a unique vacation rental in Jackson, MS with the title ""The Urban Getaway including a detail about its location.",The Urban Getaway,"A sophisticated three-story townhouse nestled in Jackson's historic Fondren District, just steps from the area's trendiest restaurants and art galleries. This renovated 1920s property sits directly across from Fondren Park, offering convenient access to the neighborhood's vibrant cultural scene. Featuring four bedrooms, a rooftop terrace with city views, and a private courtyard, this urban retreat combines Southern charm with modern luxury while maintaining walking distance to local hotspots.†The property boasts original hardwood floors and custom-built shelving.",AI,77,Claude,No,NA,stimuli/place_icon.png,NA,NA,stimuli/person_icon.png,NA,NA,,AI,text
