Initials,rental_link,rental_company,city,text_prompt,text_stimuli (title),text_stimuli,text_type,text_word_count,gAI_system_texts,reword,place_prompt,place_stimuli,place_type,gAI_system_places,face_stimuli,face_type,gAI_system_faces,ai_score,listing_type,features
,link,AirBnb,"Omaha, NE",NA,Hot tub in beautiful backyard!,"Search no more! This cozy home has it all! Charming boho style, well equipped kitchen, comfy beds, plenty of space to relax in the 2 indoor living spaces.  But the BEST part of all is the inviting patio space with hot tub, plenty of seating & fire pit! Walking distance to downtown Benson with plentiful options for dining & nightlife. Another unique feature of this home is the dedicated workspace & workout room! This gem is truly your home away from home!",Human,79,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_omaha.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/1.R.EA.M.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Long Beach, CA","Create and describe in 75 words a unique vacation rental in Long Beach, CA with the title Modern Beach House With A Backyard Oasis including its lemon trees",Modern Beach House With A Backyard Oasis,"

Escape to a sleek, contemporary retreat in Long Beach, CA, just steps from the beach. This stylish 3-bedroom rental boasts an open-concept design with floor-to-ceiling windows, flooding the space with natural light. The private backyard is a true oasis, featuring vibrant lemon trees, a shaded pergola, a firepit, and a tranquil water feature. Perfect for families or couples, enjoy coastal charm blended with modern luxury, all within walking distance of shops, dining, and vibrant nightlife.",AI,75,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Modern Beach House With A Backyard Oasis

Escape to a sleek, contemporary retreat in Long Beach, CA, just steps from the beach. This stylish 3-bedroom rental boasts an open-concept design with floor-to-ceiling windows, flooding the space with natural light. The private backyard is a true oasis, featuring vibrant lemon trees, a shaded pergola, a firepit, and a tranquil water feature. Perfect for families or couples, enjoy coastal charm blended with modern luxury, all within walking distance of shops, dining, and vibrant nightlife.""].",stimuli/AI/ai_places_intervention_20/ai_longbeach.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_intervention_20/45.S.EA.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Virginia Beach, VA",NA,Paint The Beach Pink! Full House | Private Pool,"Take a break and unwind at your private pool! Stylish, updated interior and a spacious backyard with pool and lounge area. Rinse off at the outdoor shower after a day at the beach and enjoy your private retreat! The Rudee Inlet is less than a block away with great restaurants, fishing, and water activities. A path along the Rudee Inlet leads to the beach and shops - a quick 4 block trip with the included bikes! Outdoor seating and gas fire pit added for the cooler months!",Human,86,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_virginiabeach.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/14.R.B.F.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Oakland, CA","Create and describe in 75 words a unique vacation rental in Oakland, CA with the title Luxury Travelers Retreat with Breathtaking Views including its French doors allowing open air","
Luxury Travelers Retreat with Breathtaking Views

","Perched in the Oakland Hills, this sophisticated retreat features wall-to-wall French doors that open to a stunning panorama of the San Francisco Bay. The open-concept living space seamlessly blends indoor and outdoor living, with a wraparound deck perfect for sunset viewing. The modern interior showcases designer furnishings, a gourmet kitchen, and floor-to-ceiling windows that frame the Golden Gate Bridge. Minutes from Redwood Regional Park trails, Montclair Village shops, and downtown Oakland's vibrant dining scene. Easy BART access to San Francisco and Berkeley's gourmet ghetto.",AI,73,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Luxury Travelers Retreat with Breathtaking Views

Experience Oaklandís finest in this chic vacation rental featuring stunning panoramic views of the Bay Area. French doors open onto a spacious deck, blending indoor elegance with outdoor serenity. This retreat boasts a sleek, modern design, a gourmet kitchen, and a cozy fireplace. Unwind in the soaking tub or sip wine al fresco under string lights. Located near vibrant restaurants and hiking trails, itís a perfect haven for luxury and adventure seekers alike.""].

Create an image of the exterior view of the described vacation rental listing: [""
Luxury Travelers Retreat with Breathtaking Views

Experience Oaklandís finest in this chic vacation rental featuring stunning panoramic views of the Bay Area. French doors open onto a spacious deck, blending indoor elegance with outdoor serenity. This retreat boasts a sleek, modern design, a gourmet kitchen, and a cozy fireplace. Unwind in the soaking tub or sip wine al fresco under string lights. Located near vibrant restaurants and hiking trails, itís a perfect haven for luxury and adventure seekers alike.""].",stimuli/AI/ai_places_intervention_20/ai_oakland.jpg,AI,Mage (General Fast -- Stable Diffusion XL),stimuli/AI/ai_faces_intervention_20/19.S.EA.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Pittsburgh, PA",NA,Seneca Place: A historic home in Mount Lebanon.,"Seneca Place is a historic home. Our guests have the best of both worlds: a private full residence with attentive and available hosts (right next door). Please note that we charge by guest for requests over two, so please enter the correct number of guests to fully understand your costs.
This neighborhood is very quiet with little to no traffic and the hosts are ten feet away. There is a covered side patio with an outdoor sofa as well as a connecting back patio with a fire pit.",Human,88,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_pittsburgh.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/20.R.W.F.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Orlando, FL","Create and describe in 75 words a unique vacation rental in Orlando, FL with the title Modern Private Studio including recently renovated 1950s studio","Modern Private Studio
","
This recently renovated 1950s studio apartment combines vintage charm with contemporary comfort in Orlando's trendy Colonialtown neighborhood. The space features sleek modern finishes, including a custom Murphy bed, quartz countertops, and designer lighting. The efficient layout maximizes every inch, offering a fully equipped kitchenette and stylish bathroom with rainfall shower. A private patio provides the perfect spot for morning coffee. Just minutes from downtown Orlando, Lake Eola Park, and popular Mills 50 district restaurants. Easy access to I-4 and twenty minutes to theme parks.",AI,84,ChatGPT,No,"Create an image of the front view of the described vacation rental listing:

This recently renovated 1950s studio apartment combines vintage charm with contemporary comfort in Orlando's trendy Colonialtown neighborhood. The space features sleek modern finishes, including a custom Murphy bed, quartz countertops, and designer lighting. The efficient layout maximizes every inch, offering a fully equipped kitchenette and stylish bathroom with rainfall shower. A private patio provides the perfect spot for morning coffee. Just minutes from downtown Orlando, Lake Eola Park, and popular Mills 50 district restaurants. Easy access to I-4 and twenty minutes to theme parks.",stimuli/AI/ai_places_intervention_20/ai_orlando.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_intervention_20/45.S.W.F.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Costa Mesa, CA",NA,"

Eastside Casita","Located 1/2 mile from Newport Beach and walking distance to a variety of restaurants, cafes, bars, and stores it is great home base for exploring the Newport Beach and Costa Mesa area and is just 2 miles from the water! Guest house is detached from main house, has private entrance, parking, full kitchen and fenced off back yard space. The Patio includes a BBQ and patio table to enjoy So-Cal evenings or take in the sun while not out exploring. Accommodating for both adventure and work travel!",Human,87,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_costamesa.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/5.R.SA.M.png,Human,NA,,Human,multifeatured
SM,NA,NA,"Newark, NJ","Create and describe in 75 words a unique vacation rental in Newark, NJ with the title Modern City Getaway Near Downtown Newark, NYC, EWR including its proximity to the Red Bull Arena","Modern City Getaway Near Downtown Newark, NYC, EWR
","
This stylish and cozy vacation rental offers a contemporary urban retreat just minutes from downtown Newark, NYC access, and Newark Airport (EWR). Enjoy a fully equipped kitchen, high-speed Wi-Fi, and a comfortable lounge area with city views. Located 10 minutes from Red Bull Arena, it's perfect for sports fans and concertgoers. Explore the vibrant Ironbound District and its renowned dining scene, or take a quick train ride to Manhattan. Ideal for modern travelers!",AI,73,ChatGPT,No,"Create an image of the front view of the described vacation rental listing: [""
Modern City Getaway Near Downtown Newark, NYC, EWR
This stylish and cozy vacation rental offers a contemporary urban retreat just minutes from downtown Newark, NYC access, and Newark Airport (EWR). Enjoy a fully equipped kitchen, high-speed Wi-Fi, and a comfortable lounge area with city views. Located 10 minutes from Red Bull Arena, it's perfect for sports fans and concertgoers. Explore the vibrant Ironbound District and its renowned dining scene, or take a quick train ride to Manhattan. Ideal for modern travelers!""].",stimuli/AI/ai_places_intervention_20/ai_newark.jpg,AI,Gemini (2.0 Flash),stimuli/AI/ai_faces_intervention_20/30.S.SA.M.png,AI,StyleGAN2,,AI,multifeatured
,link,AirBnb,"Irving, TX",NA,Cozy 3 Bed 2.5 Bath entire home near DFW Airport,"Welcome to your ideal retreat! This 3-bedroom home features a king bed with an en-suite bathroom, a queen bed with a full bathroom, and a third queen bed with a half bathroom. This home also features a smart TV in every bedroom! Blowup queen mattress is available too to fit 7 if needed. Enjoy the entire house and a large, pet-friendly backyardógreat for your furry friends. Relax on the outdoor patio with a table and a charcoal grill. Fast Wi-Fi supports work-from-home needs.",Human,83,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_irving.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/13.R.W.M.png,Human,NA,,Human,multifeatured
TM,NA,NA,"Rochester, NY","Create and describe in 75 words a unique vacation rental in Rochester, NY with the title ""Cozy bungalow in desirable area!"" including a factor about the neighborhood.",Cozy bungalow in desirable area!,"Located in Rochester's sought-after Park Avenue neighborhood, known for its tree-lined streets and historic architecture, this charming 1930s bungalow offers a perfect city retreat. The two-bedroom home features a welcoming front porch, updated kitchen with breakfast nook, and original hardwood floors throughout. Just steps from the area's celebrated cafes, boutiques, and the annual Park Ave Festival. Minutes from the Memorial Art Gallery, George Eastman Museum, and Highland Park's famous lilac gardens. Easy access to University of Rochester and Strong Memorial Hospital.

",AI,81,Claude,Yes,"Create an image of the front view of the described vacation rental listing: Located in Rochester's sought-after Park Avenue neighborhood, known for its tree-lined streets and historic architecture, this charming 1930s bungalow offers a perfect city retreat. The two-bedroom home features a welcoming front porch, updated kitchen with breakfast nook, and original hardwood floors throughout. Just steps from the area's celebrated cafes, boutiques, and the annual Park Ave Festival. Minutes from the Memorial Art Gallery, George Eastman Museum, and Highland Park's famous lilac gardens. Easy access to University of Rochester and Strong Memorial Hospital.",stimuli/AI/ai_places_intervention_20/ai_rochester.jpg,AI,Mage,stimuli/AI/ai_faces_intervention_20/36.S.SA.M.png,AI,StyleGAN2,0.4,AI,multifeatured
,link ,AirBnb,"Spokane Valley, WA",NA,"Huge Home, Pool Table, Hot Tub","Located in a prestigious neighborhood, this fully updated home boasts 4000 sq. ft. of living space, comfortably accommodating 16. Unwind and de-stress with the hot tub, 4 smart TV's, fire pit, and city views. Enjoy a game of pool, foosball, or a round on the Pac-Man arcade. A home gym & nearby trails await the active enthusiast. Loaded to the max with amenities this escape offers the perfect blend of entertainment and comfort.
",Human,72,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_spokanevalley.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/16.R.SA.M.png,Human,NA,1.2,Human,multifeatured
TM,NA,NA,"San Bernardino, CA","Create and describe in 75 words a unique vacation rental in San Bernardino, CA with the title "" Downtown Redlands Historic Wonderland "" including a detail about the location.",Downtown Redlands Historic Wonderland ,"Nestled in the heart of historic Redlands, just two blocks from the iconic Redlands Bowl amphitheater, this restored 1920s Craftsman bungalow exudes California charm. The three-bedroom home features period details, including built-in cabinets and original windows, alongside modern amenities. A wraparound porch and citrus-filled backyard offer perfect spots to enjoy the year-round Mediterranean climate. Walking distance to State Street's boutiques, cafes, and the historic A.K. Smiley Public Library. Easy access to mountain trails and San Bernardino National Forest.",AI,78,Claude,Yes,"Create an image of the front view of the described vacation rental listing: Downtown Redlands Historic Wonderland nestles in the heart of Redlands' historic district, mere steps from the celebrated Fox Theater and vibrant State Street corridor. This meticulously maintained 1920s Craftsman showcases period charm while offering modern comfort. Located in a tree-lined neighborhood, guests can stroll to artisanal coffee shops, boutique shopping, and the popular farmers' market, yet enjoy serene surroundings in this historic enclave.",stimuli/AI/ai_places_intervention_20/ai_sanbernardino.jpg,AI,Mage,stimuli/AI/ai_faces_intervention_20/7.S.EA.M.png,AI,StyleGAN2,99.9,AI,multifeatured
,link ,AirBnb,"Muncie, IN",NA,Quaint carriage house.,"Youíll†think†you†are†in†the†country†when†you†arrive†at†our†peaceful†10†acre†property†right†in†Muncie.†Located†near†our†historic†home,†built†in†1848,†youíll†find†a†carriage†house†with†an†upstairs†apartment†with†everything†you†need†for†a†relaxing†and†comfortable†stay.†This†is†a†quaint,†rustic†cabin†like†space†with†private†outdoor†area.†You†are†only†five†to†10†minutes†from†BSU†and†IU†Ball†Hospital,†downtown,†Elm†Street†Brewing,†the†Childrenís†Museum,†walking†trails†and†most†restaurants.",Human,83,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_muncie.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/46.R.W.M.png,Human,NA,0,Human,multifeatured
TM,NA,NA,"Florence, SC","Create and describe in 75 words a unique vacation rental in Florence, SC with the title "" Hadley's Hideaway "" including a detail about the location.",Hadley's Hideaway,"
Situated in Florence's historic district, just three blocks from the Francis Marion University Performing Arts Center, this renovated 1940s cottage offers southern charm with modern comfort. The two-bedroom home features original hardwood floors, a screened-in porch with rocking chairs, and a bright, updated kitchen. The peaceful backyard garden provides a tranquil setting for morning coffee or evening relaxation. Walking distance to downtown restaurants, the Florence County Museum, and the weekly farmers market. Minutes from Florence Regional Airport and Interstate 95 access.",AI,81,Claude,Yes,"Create an image of the front view of the described vacation rental listing:†Situated in Florence's historic district, just three blocks from the Francis Marion University Performing Arts Center, this renovated 1940s cottage offers southern charm with modern comfort. The two-bedroom home features original hardwood floors, a screened-in porch with rocking chairs, and a bright, updated kitchen. The peaceful backyard garden provides a tranquil setting for morning coffee or evening relaxation. Walking distance to downtown restaurants, the Florence County Museum, and the weekly farmers market. Minutes from Florence Regional Airport and Interstate 95 access.",stimuli/AI/ai_places_intervention_20/ai_florence.jpg,AI,Gemini,stimuli/AI/ai_faces_intervention_20/38.S.B.F.png,AI,StyleGAN2,0,AI,multifeatured
,link ,AirBnb,"Concord, NH",NA,"Historic Colonial Downtown, Room #1","Enjoy†Downtown†Concord†without†breaking†the†bank!†Step†into†New†England†history†at†this†Colonial†built†in†1855,†while†still†enjoying†modern†amenities†and†the†comforts†of†home.†First†floor†of†the†house†is†owner-occupied†and†locked†off†from†guests.†The†second†floor†has†a†separate†entrance,†shared†bathroom,†storage,†and†three†locking†bedrooms†rented†individually.†This†listing,†Room†#1,†is†the†largest†room†and†includes†a†queen†bed,†desk,†closet,†mini-fridge,†microwave,†WiFi,†heat/AC,†TV,†and†more.",Human,78,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_concord.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/24.R.EA.F.png,Human,NA,1.7,Human,multifeatured
TM,NA,NA,"Daytona Beach, FL","Create and describe in 75 words a unique vacation rental in Daytona Beach, FL with the title "" Glorious Oceanfront Escape: 1BR Private Balcony "" including a detail about the location.",Glorious Oceanfront Escape: 1BR Private Balcony,"

Perched on the 12th floor of an exclusive beachfront complex, just steps from the Daytona Beach Pier and Boardwalk, this modern condo offers breathtaking ocean views from every room. The stylish one-bedroom unit features floor-to-ceiling windows, a fully equipped kitchen, and a private balcony perfect for watching sunrise over the Atlantic. Building amenities include two oceanfront pools and secured parking. Located minutes from Daytona International Speedway, Ocean Walk Shoppes, and popular beach restaurants. Direct beach access with complimentary chairs and umbrellas for guests.",AI,83,Claude,Yes,"Create an image of the front view of the described vacation rental listing:† Perched on the 12th floor of an exclusive beachfront complex, just steps from the Daytona Beach Pier and Boardwalk, this modern condo offers breathtaking ocean views from every room. The stylish one-bedroom unit features floor-to-ceiling windows, a fully equipped kitchen, and a private balcony perfect for watching sunrise over the Atlantic. Building amenities include two oceanfront pools and secured parking. Located minutes from Daytona International Speedway, Ocean Walk Shoppes, and popular beach restaurants. Direct beach access with complimentary chairs and umbrellas for guests.",stimuli/AI/ai_places_intervention_20/ai_daytonabeach.jpg,AI,Gemini,stimuli/AI/ai_faces_intervention_20/12.S.SA.F.png,AI,StyleGAN2,0.1,AI,multifeatured
,link ,AirBnb,"Billings, MT",NA,Industrial Loft@Old Pine Retreat,"Here is your opportunity to experience a remote getaway just minutes away from downtown Billings. This beautiful, vintage-industrial themed house has features that include a 21 foot high ceiling in the living room, a gas fireplace, a loft master bedroom and a second bedroom, large bathrooms on both levels and a private deck. If this isn't enough, the views and remote space that you will get to experience will be enough to take your breath away!",Human,76,NA,NA,NA,stimuli/Human/human_places_intervention_20/human_billings1.jpg,Human,NA,stimuli/Human/human_faces_intervention_20/33.R.EA.M.png,Human,NA,0,Human,multifeatured
